system   D            wsystem.c:583  maybe_parent_dir                 [   0.00132] Also searching C:\Users\Maroofshahani\Desktop\AllegroProj\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00205] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00218] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00529] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.07244] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.07267] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.07579] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.07587] al_display=00AD9E68
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.07594] al_display->vt=00AD8AF8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08471] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.08483] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08490] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08495] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08501] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08506] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08512] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08517] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08523] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08528] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08535] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08539] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08546] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08551] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08557] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08562] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08568] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08573] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
